"id","latitude","longitude","name","display_name","zone","total_lines","rail"
1,51.5028,-0.2801,"Acton Town","Acton<br />Town",3,2,0
2,51.5143,-0.0755,"Aldgate",NULL,1,2,0
3,51.5154,-0.0726,"Aldgate East","Aldgate<br />East",1,2,0
4,51.5107,-0.013,"All Saints","All<br />Saints",2,1,0
5,51.5407,-0.2997,"Alperton",NULL,4,1,0
7,51.5322,-0.1058,"Angel",NULL,1,1,0
8,51.5653,-0.1353,"Archway",NULL,2.5,1,0
9,51.6164,-0.1331,"Arnos Grove","Arnos<br />Grove",4,1,0
10,51.5586,-0.1059,"Arsenal",NULL,2,1,0
11,51.5226,-0.1571,"Baker Street","Baker<br />Street",1,5,0
12,51.4431,-0.1525,"Balham",NULL,3,1,1
13,51.5133,-0.0886,"Bank",NULL,1,4,0
14,51.5204,-0.0979,"Barbican",NULL,1,3,0
15,51.5396,0.081,"Barking",NULL,4,2,1
16,51.5856,0.0887,"Barkingside",NULL,5,1,0
17,51.4905,-0.2139,"Barons Court","Barons<br />Court",2,2,0
18,51.5121,-0.1879,"Bayswater",NULL,1,2,0
19,51.5148,0.0613,"Beckton",NULL,3,1,0
20,51.5087,0.055,"Beckton Park","Beckton<br />Park",3,1,0
21,51.5403,0.127,"Becontree",NULL,5,1,0
22,51.5504,-0.1642,"Belsize Park","Belsize<br />Park",2,1,0
24,51.527,-0.0549,"Bethnal Green","Bethnal<br />Green",2,1,0
25,51.512,-0.1031,"Blackfriars",NULL,1,2,0
26,51.5867,-0.0417,"Blackhorse Road","Blackhorse<br />Road",3,1,1
27,51.5079,-0.0066,"Blackwall",NULL,2,1,0
28,51.5142,-0.1494,"Bond Street","Bond<br />Street",1,2,0
29,51.5011,-0.0943,"Borough",NULL,1,1,0
30,51.4956,-0.325,"Boston Manor","Boston<br />Manor",4,1,0
31,51.6071,-0.1243,"Bounds Green","Bounds<br />Green",3.5,1,0
32,51.5273,-0.0208,"Bow Church","Bow<br />Church",2,1,0
33,51.5269,-0.0247,"Bow Road","Bow<br />Road",2,2,0
34,51.5766,-0.2136,"Brent Cross","Brent<br />Cross",3,1,0
36,51.5248,-0.0119,"Bromley-By-Bow",NULL,2.5,2,0
38,51.6028,-0.2641,"Burnt Oak","Burnt<br />Oak",4,1,0
39,51.5481,-0.1188,"Caledonian Road","Caledonian<br />Road",2,1,0
40,51.5392,-0.1426,"Camden Town","Camden<br />Town",2,1,0
42,51.5051,-0.0209,"Canary Wharf","Canary<br />Wharf",2,2,0
44,51.5113,-0.0904,"Cannon Street","Cannon<br />Street",1,2,0
45,51.6078,-0.2947,"Canons Park","Canons<br />Park",5,1,0
47,51.5441,-0.1538,"Chalk Farm","Chalk<br />Farm",2,1,0
48,51.5185,-0.1111,"Chancery Lane","Chancery<br />Lane",1,1,0
49,51.508,-0.1247,"Charing Cross","Charing<br />Cross",1,2,1
51,51.6177,0.0755,"Chigwell",NULL,5,1,0
52,51.4946,-0.2678,"Chiswick Park","Chiswick<br />Park",3,1,0
54,51.4618,-0.1384,"Clapham Common","Clapham<br />Common",2,1,0
55,51.4649,-0.1299,"Clapham North","Clapham<br />North",2,1,0
56,51.4527,-0.148,"Clapham South","Clapham<br />South",2.5,1,0
58,51.5955,-0.2502,"Colindale",NULL,4,1,0
59,51.418,-0.1778,"Colliers Wood","Colliers<br />Wood",3,1,0
60,51.5129,-0.1243,"Covent Garden","Covent<br />Garden",1,1,0
61,51.4957,-0.0144,"Crossharbour & London Arena","Crossharbour &<br />London Arena",2,1,0
63,51.5095,0.0276,"Custom House","Custom<br />House",3,1,0
65,51.5085,0.064,"Cyprus",NULL,3,1,0
66,51.5443,0.1655,"Dagenham East","Dagenham<br />East",5,1,0
67,51.5417,0.1469,"Dagenham Heathway","Dagenham<br />Heathway",5,1,0
70,51.5223,-0.0173,"Devons Road","Devons<br />Road",2,1,0
71,51.552,-0.2387,"Dollis Hill","Dollis<br />Hill",3,1,0
72,51.5152,-0.3017,"Ealing Broadway","Ealing<br />Broadway",3,2,1
73,51.5101,-0.2882,"Ealing Common","Ealing<br />Common",3,2,0
74,51.492,-0.1973,"Earl's Court","Earl's<br />Court",1.5,2,0
75,51.5765,-0.397,"Eastcote",NULL,5,2,0
76,51.5168,-0.2474,"East Acton","East<br />Acton",2,1,0
